tacticam_track_id,broadcast_track_id,cosine_similarity
22,31,0.9194
1,15,0.9193
2,11,0.9211
3,16,0.9096
4,26,0.9118
5,18,0.9245
6,15,0.9034
7,18,0.909
8,9,0.9034
9,15,0.9192
10,18,0.9409
11,9,0.9226
12,15,0.9279
13,17,0.9091
14,12,0.9045
15,9,0.9033
16,8,0.9032
17,8,0.9181
18,11,0.9219
19,12,0.9095
20,11,0.9212
21,26,0.9022
22,31,0.9403
1,15,0.9101
2,11,0.9143
3,15,0.9156
4,26,0.9204
5,9,0.925
6,15,0.9103
7,18,0.93
8,9,0.9011
9,15,0.9302
10,19,0.9418
11,12,0.9173
12,15,0.9216
13,17,0.8852
14,11,0.9012
15,26,0.9006
16,16,0.9198
17,8,0.9236
18,21,0.8978
19,11,0.9135
20,9,0.8961
21,15,0.9111
22,31,0.9261
1,15,0.9232
2,11,0.9178
3,8,0.9265
4,31,0.9357
5,11,0.9267
6,15,0.9254
7,18,0.9328
8,11,0.9396
9,9,0.923
10,18,0.8995
11,12,0.9202
12,9,0.9084
13,26,0.9028
14,11,0.9168
15,16,0.9209
16,16,0.9241
17,16,0.9117
18,11,0.9184
19,11,0.908
20,11,0.9149
21,16,0.9024
22,31,0.9101
1,16,0.9445
2,11,0.9277
3,16,0.9118
4,26,0.9438
5,12,0.9261
6,15,0.9139
7,11,0.9277
8,11,0.9321
9,9,0.8969
10,19,0.9271
11,12,0.9084
12,31,0.9233
13,17,0.9022
14,11,0.9182
15,9,0.9099
16,8,0.9171
17,8,0.9249
18,11,0.9234
19,9,0.9067
20,11,0.9215
21,47,0.9045
22,31,0.9014
1,16,0.9526
2,11,0.9114
3,16,0.9161
4,31,0.9302
5,12,0.9277
6,15,0.9189
7,18,0.9231
8,11,0.95
9,9,0.9236
10,19,0.9288
11,9,0.9275
12,16,0.9272
13,31,0.9163
14,11,0.9371
15,15,0.9082
16,8,0.9084
17,8,0.9259
18,11,0.9181
19,11,0.9103
20,11,0.9087
21,47,0.9081
22,31,0.9184
1,16,0.9339
2,11,0.9183
3,16,0.9245
4,31,0.9345
5,18,0.9323
6,47,0.9235
7,11,0.9239
8,19,0.9257
9,9,0.9177
10,19,0.9321
11,19,0.9329
12,9,0.9159
13,31,0.9248
14,11,0.9343
15,9,0.919
16,31,0.9181
17,8,0.9128
18,11,0.9272
19,12,0.9208
20,12,0.9128
21,15,0.9256
22,31,0.938
1,10,0.9271
2,11,0.931
3,10,0.9299
4,31,0.9161
5,11,0.9294
6,16,0.9033
7,18,0.9301
8,11,0.9378
9,18,0.932
10,19,0.9343
11,18,0.93
12,15,0.9389
13,18,0.8893
14,11,0.9422
15,31,0.9228
16,16,0.919
17,8,0.9305
18,11,0.9213
19,12,0.9267
20,12,0.9247
21,47,0.9304
22,31,0.9431
1,10,0.9157
2,11,0.9343
3,16,0.9196
4,47,0.9212
5,11,0.9261
6,47,0.9137
7,11,0.9327
8,18,0.9306
9,9,0.9135
10,18,0.9306
11,18,0.9335
12,15,0.9293
13,14,0.9268
14,11,0.9336
15,8,0.9141
16,16,0.9253
17,47,0.9157
18,11,0.9182
19,12,0.9249
20,12,0.9426
21,47,0.9215
22,31,0.9252
1,16,0.9179
2,11,0.9362
3,16,0.9365
4,31,0.9282
5,18,0.9406
6,16,0.9142
7,11,0.9397
8,18,0.9484
9,9,0.9331
10,19,0.9414
11,9,0.9417
12,15,0.9324
13,14,0.9161
14,11,0.9306
15,11,0.9268
16,31,0.9358
17,8,0.9133
18,11,0.9304
19,12,0.9266
20,11,0.9328
21,15,0.9356
22,31,0.9151
1,10,0.9351
2,11,0.9416
3,16,0.9362
4,31,0.9323
5,12,0.9445
6,10,0.9155
7,11,0.9279
8,18,0.9482
9,9,0.9273
10,18,0.9379
11,18,0.9375
12,10,0.9519
13,14,0.9179
14,11,0.9402
15,11,0.9203
16,47,0.9382
17,8,0.9323
18,18,0.9365
19,12,0.9279
20,11,0.939
21,47,0.939
22,47,0.8974
1,16,0.9482
2,11,0.9397
3,16,0.9473
4,31,0.9256
5,18,0.9404
6,47,0.9294
7,11,0.9423
8,18,0.9464
9,12,0.9338
10,18,0.9473
11,12,0.9483
12,16,0.9264
13,14,0.9189
14,11,0.9196
15,31,0.9346
16,47,0.9362
17,8,0.9293
18,11,0.9386
19,18,0.9364
20,11,0.9163
21,31,0.9393
22,47,0.9099
1,10,0.9397
2,11,0.9298
3,16,0.946
4,47,0.9427
5,18,0.9397
6,47,0.9333
7,12,0.9547
8,19,0.9504
9,9,0.9341
10,18,0.9462
11,12,0.9475
12,11,0.9486
13,31,0.9226
14,9,0.9278
15,31,0.9413
16,47,0.9337
17,16,0.9286
18,11,0.9501
19,12,0.9331
20,12,0.9291
21,47,0.9295
22,17,0.9315
1,16,0.9456
2,11,0.9282
3,16,0.9373
4,47,0.9385
5,11,0.9464
6,47,0.9254
7,12,0.9473
8,19,0.952
9,16,0.9305
10,18,0.9372
11,18,0.9476
12,13,0.9368
13,31,0.9456
14,11,0.9373
15,31,0.9319
16,31,0.9404
17,16,0.9351
18,11,0.928
19,12,0.9304
20,11,0.9458
21,47,0.9241
22,17,0.9377
1,16,0.943
2,11,0.9274
3,10,0.934
4,31,0.9417
5,11,0.9429
6,47,0.9419
7,11,0.9364
8,19,0.9538
9,16,0.9385
10,18,0.9592
11,12,0.9512
12,16,0.9386
13,31,0.9426
14,11,0.9398
15,31,0.9415
16,11,0.9436
17,8,0.9342
18,11,0.9324
19,11,0.9437
20,12,0.9401
21,15,0.9434
22,31,0.9398
34,12,0.9442
1,16,0.9361
2,11,0.931
3,16,0.9573
4,47,0.949
5,18,0.9553
6,47,0.9325
7,11,0.9404
8,19,0.9568
9,9,0.9283
10,19,0.9516
11,18,0.9498
12,16,0.9561
13,11,0.9321
14,11,0.9542
15,31,0.9451
16,11,0.9415
17,47,0.9424
18,11,0.9433
19,11,0.9477
20,11,0.9451
21,47,0.9517
22,31,0.9377
34,11,0.9269
1,13,0.9479
2,12,0.944
3,16,0.9453
4,47,0.9503
5,18,0.9603
6,47,0.9325
7,12,0.9463
8,19,0.9628
9,15,0.9462
10,12,0.9472
11,12,0.953
12,13,0.9558
13,12,0.9444
14,18,0.9506
15,16,0.9556
16,47,0.9526
17,15,0.9456
18,11,0.9458
19,12,0.9489
20,47,0.9581
21,47,0.9583
22,47,0.9479
34,12,0.9394
1,31,0.9538
2,11,0.9461
3,16,0.9542
4,31,0.9487
5,12,0.9527
6,8,0.941
7,11,0.9273
8,19,0.9605
9,13,0.9544
10,18,0.9507
11,18,0.9482
12,47,0.9404
13,11,0.941
14,11,0.9532
15,13,0.9388
16,15,0.9485
17,47,0.9507
18,11,0.9444
19,12,0.962
20,18,0.9418
21,47,0.9478
22,11,0.9401
34,31,0.9532
1,8,0.9559
2,11,0.9468
3,16,0.9461
4,47,0.9556
5,12,0.959
6,15,0.9409
7,11,0.9486
8,19,0.9662
9,15,0.9494
10,19,0.9619
11,18,0.9592
12,47,0.9329
13,21,0.9389
14,11,0.9565
15,13,0.9542
16,15,0.9548
17,47,0.956
18,11,0.9497
19,12,0.9537
20,12,0.9489
21,13,0.9514
22,17,0.9353
34,11,0.9314
1,15,0.9615
2,11,0.9486
3,47,0.9567
4,31,0.9566
5,12,0.9608
6,47,0.936
7,18,0.9369
8,11,0.9538
9,13,0.9478
10,19,0.9499
11,18,0.9514
12,16,0.955
13,47,0.9441
14,11,0.9577
15,47,0.9463
16,15,0.9566
17,47,0.9508
18,11,0.9527
19,12,0.9408
20,12,0.9554
21,8,0.9476
22,11,0.9476
34,12,0.9443
1,11,0.9486
2,11,0.9384
3,47,0.9638
4,31,0.9697
5,11,0.9561
6,47,0.9514
7,18,0.946
8,11,0.9466
9,15,0.9495
10,19,0.9492
11,18,0.9598
12,16,0.9603
13,31,0.9574
14,11,0.957
15,16,0.9538
16,8,0.9559
17,8,0.9526
18,11,0.9534
19,12,0.9438
20,12,0.9514
21,13,0.9484
22,47,0.9462
34,11,0.96
1,16,0.9448
2,11,0.9511
3,15,0.9622
4,13,0.9594
5,9,0.9631
6,10,0.9632
7,11,0.9598
8,11,0.9597
9,47,0.9548
10,19,0.9666
11,18,0.9557
12,11,0.9576
13,47,0.9425
14,11,0.9594
15,47,0.9456
16,13,0.9539
17,8,0.9392
18,11,0.9421
19,12,0.9511
20,11,0.9535
21,13,0.9451
22,51,0.954
34,11,0.9506
1,11,0.9494
2,11,0.9558
3,15,0.961
4,47,0.9457
5,18,0.9619
6,47,0.955
7,12,0.9598
8,11,0.9651
9,15,0.9543
10,19,0.9623
11,11,0.9418
12,11,0.9628
13,31,0.9461
14,9,0.9534
15,16,0.9349
16,16,0.9484
17,15,0.9572
18,12,0.9526
19,12,0.9524
20,12,0.9554
21,15,0.9545
22,51,0.9557
34,11,0.9569
1,11,0.9478
2,11,0.9496
3,15,0.9533
4,47,0.9536
5,12,0.9623
6,15,0.9636
7,12,0.9599
8,11,0.9611
9,15,0.9475
10,11,0.9526
11,18,0.953
12,16,0.9607
13,47,0.9392
14,47,0.9555
15,15,0.9516
16,15,0.9473
17,47,0.9617
18,47,0.9464
19,18,0.9518
20,9,0.9653
21,13,0.9623
22,11,0.9448
34,11,0.9571
1,13,0.9483
2,12,0.9548
3,15,0.9646
4,13,0.9553
5,18,0.9656
6,15,0.9645
7,12,0.9482
8,11,0.9684
9,11,0.9582
10,12,0.9645
11,19,0.9519
12,11,0.959
13,47,0.9518
14,47,0.9586
15,13,0.9518
16,15,0.9542
17,8,0.9553
18,11,0.9606
19,11,0.9601
20,12,0.9592
21,15,0.9706
22,16,0.9461
34,11,0.9574
1,13,0.9517
2,12,0.9619
3,13,0.9623
4,16,0.9583
5,12,0.9634
6,15,0.9568
7,18,0.9595
8,12,0.9608
9,11,0.9535
10,19,0.9592
11,18,0.9651
12,13,0.9545
13,11,0.9533
14,9,0.9638
15,13,0.9487
16,47,0.9535
17,15,0.9596
18,11,0.9618
19,18,0.9548
20,12,0.9574
21,15,0.9664
22,17,0.9364
34,11,0.9586
1,16,0.9598
2,11,0.9612
3,16,0.9615
4,31,0.9569
5,18,0.9627
6,13,0.9582
7,11,0.9589
8,18,0.9604
9,47,0.9549
10,19,0.9651
11,12,0.9611
12,16,0.9673
13,11,0.958
14,12,0.9584
15,13,0.9452
16,13,0.9609
17,8,0.9596
18,12,0.9642
19,18,0.956
20,12,0.9557
21,47,0.9585
22,17,0.9548
34,11,0.9663
1,15,0.9656
2,12,0.9575
3,8,0.9589
4,31,0.9631
5,18,0.9656
6,15,0.9537
7,12,0.9604
8,18,0.9693
9,11,0.951
10,19,0.9669
11,18,0.9573
12,16,0.9669
13,12,0.9446
14,47,0.9577
15,31,0.9479
